iteration,log_likelihood,network_size,parameters,description
325,-14.119673387435746,52,5000_2500_1_0.2_0.1_100,
326,-14.119673387435746,52,5000_2500_1_0.2_0.1_100,
327,-14.119673387435746,52,5000_2500_1_0.2_0.1_100,
328,-14.119673387435746,52,5000_2500_1_0.2_0.1_100,
329,-14.238083972319671,53,5000_2500_1_0.2_0.1_100,
330,-14.238083972319671,53,5000_2500_1_0.2_0.1_100,
331,-14.238083972319671,53,5000_2500_1_0.2_0.1_100,
332,-14.238083972319671,53,5000_2500_1_0.2_0.1_100,
333,-14.487607568948066,54,5000_2500_1_0.2_0.1_100,
334,-14.487607568948064,54,5000_2500_1_0.2_0.1_100,
335,-14.487607568948064,54,5000_2500_1_0.2_0.1_100,
336,-14.487607568948064,54,5000_2500_1_0.2_0.1_100,
337,-14.834827442652932,55,5000_2500_1_0.2_0.1_100,
338,-14.834827442652934,55,5000_2500_1_0.2_0.1_100,
339,-14.834827442652934,55,5000_2500_1_0.2_0.1_100,
340,-14.834827442652934,55,5000_2500_1_0.2_0.1_100,
341,-14.834827442652934,55,5000_2500_1_0.2_0.1_100,
342,-14.834827442652934,55,5000_2500_1_0.2_0.1_100,
343,-14.834827442652934,55,5000_2500_1_0.2_0.1_100,
344,-14.834827442652934,55,5000_2500_1_0.2_0.1_100,
345,-14.936430909222354,56,5000_2500_1_0.2_0.1_100,
346,-14.936430909222354,56,5000_2500_1_0.2_0.1_100,
347,-14.936430909222354,56,5000_2500_1_0.2_0.1_100,
348,-14.936430909222354,56,5000_2500_1_0.2_0.1_100,
349,-14.936430909222354,56,5000_2500_1_0.2_0.1_100,
350,-15.076255588607658,57,5000_2500_1_0.2_0.1_100,
351,-15.076255588607658,57,5000_2500_1_0.2_0.1_100,
352,-15.076255588607658,57,5000_2500_1_0.2_0.1_100,
353,-15.076255588607657,57,5000_2500_1_0.2_0.1_100,
354,-15.076255588607658,57,5000_2500_1_0.2_0.1_100,
355,-15.076255588607658,57,5000_2500_1_0.2_0.1_100,
356,-15.07625558860766,57,5000_2500_1_0.2_0.1_100,
357,-15.076255588607658,57,5000_2500_1_0.2_0.1_100,
358,-15.076255588607657,57,5000_2500_1_0.2_0.1_100,
359,-15.076255588607658,57,5000_2500_1_0.2_0.1_100,
360,-15.076255588607658,57,5000_2500_1_0.2_0.1_100,
361,-15.076255588607658,57,5000_2500_1_0.2_0.1_100,
362,-15.076255588607658,57,5000_2500_1_0.2_0.1_100,
363,-15.076255588607658,57,5000_2500_1_0.2_0.1_100,
364,-15.076255588607658,57,5000_2500_1_0.2_0.1_100,
365,-15.076255588607658,57,5000_2500_1_0.2_0.1_100,
366,-15.076255588607658,57,5000_2500_1_0.2_0.1_100,
367,-15.076255588607658,57,5000_2500_1_0.2_0.1_100,
368,-15.076255588607662,57,5000_2500_1_0.2_0.1_100,
369,-15.39580778958723,58,5000_2500_1_0.2_0.1_100,
370,-15.39580778958723,58,5000_2500_1_0.2_0.1_100,
371,-15.39580778958723,58,5000_2500_1_0.2_0.1_100,
372,-15.39580778958723,58,5000_2500_1_0.2_0.1_100,
373,-15.395807789587227,58,5000_2500_1_0.2_0.1_100,
374,-15.39580778958723,58,5000_2500_1_0.2_0.1_100,
375,-15.39580778958723,58,5000_2500_1_0.2_0.1_100,
376,-15.39580778958723,58,5000_2500_1_0.2_0.1_100,
377,-15.39580778958723,58,5000_2500_1_0.2_0.1_100,
378,-15.39580778958723,58,5000_2500_1_0.2_0.1_100,
379,-15.662547988176629,59,5000_2500_1_0.2_0.1_100,
380,-15.662547988176629,59,5000_2500_1_0.2_0.1_100,
381,-15.662547988176629,59,5000_2500_1_0.2_0.1_100,
382,-15.662547988176629,59,5000_2500_1_0.2_0.1_100,
383,-15.662547988176629,59,5000_2500_1_0.2_0.1_100,
384,-15.662547988176629,59,5000_2500_1_0.2_0.1_100,
385,-15.662547988176629,59,5000_2500_1_0.2_0.1_100,
