parameters,avg_log_likelihood,max_log_likelihood,avg_network_size,max_network_size,std_log_likelihood,avg_degree_centrality,max_degree_centrality,num_nodes,num_edges,density
5000_2500_1_0.2_0.2_50,-125.21388029094184,0.0,429.3748,880,73.77466249836144,0.21960784313725487,0.3214285714285714,85,784,0.10980392156862745
5000_2500_1_0.3_0.1_100,-130.28125262217006,0.0,450.7862,888,74.43156431030688,0.21484593837535002,0.3214285714285714,85,767,0.10742296918767508
5000_2500_1_0.3_0.1_50,-133.587082822318,-0.4004588395807693,452.3878,902,72.85864570772651,0.22156862745098033,0.3333333333333333,85,791,0.11078431372549019
5000_2500_1_0.3_0.2_100,-120.7110954632239,0.0,435.4016,871,70.76797846933727,0.21344537815126033,0.34523809523809523,85,762,0.10672268907563025
5000_2500_1_0.3_0.2_50,-128.94844994185303,0.0,434.7276,874,74.55482641551122,0.2131652661064425,0.38095238095238093,85,761,0.10658263305322128
5000_2500_5_0.2_0.1_100,-127.19357544008298,0.0,445.4912,892,73.42784693594307,0.21988795518207277,0.369047619047619,85,785,0.10994397759103641
5000_2500_5_0.2_0.1_50,-130.50103653303387,0.0,441.7068,883,75.16507236250906,0.2126050420168067,0.369047619047619,85,759,0.10630252100840336
5000_2500_5_0.2_0.2_100,-131.33372554595033,0.0,437.7044,900,78.44641055320297,0.2212885154061624,0.34523809523809523,85,790,0.11064425770308123
5000_2500_5_0.2_0.2_50,-122.4918915271431,-0.385219741478656,429.7132,843,71.54067341143147,0.20700280112044814,0.3333333333333333,85,739,0.10350140056022408
5000_2500_5_0.3_0.1_100,-126.15397452075517,-0.6549887046723887,426.6458,858,72.10697350354582,0.21232492997198868,0.3333333333333333,85,758,0.1061624649859944
5000_2500_5_0.3_0.1_50,-125.48946824906866,0.0,434.2362,867,72.55789970235067,0.21288515406162456,0.3214285714285714,85,760,0.10644257703081232
5000_2500_5_0.3_0.2_100,-130.92451043184536,-0.2303842564201304,439.9776,867,72.06375859077907,0.21540616246498587,0.3333333333333333,85,769,0.107703081232493
5000_2500_5_0.3_0.2_50,-123.18499730505948,-0.3892855389843023,416.5234,841,72.1958659275746,0.21148459383753498,0.3571428571428571,85,755,0.1057422969187675
5000_500_1_0.2_0.1_100,-125.59134377769819,0.0,426.4056,853,69.52567946569282,0.20896358543417357,0.2976190476190476,85,746,0.10448179271708684
5000_500_1_0.2_0.1_50,-136.27044061978222,0.0,460.8002,907,76.47719075784535,0.2198879551820727,0.41666666666666663,85,785,0.10994397759103641
5000_500_1_0.2_0.2_100,-129.76835507621652,0.0,442.9568,880,74.59518470056416,0.21680672268907558,0.3333333333333333,85,774,0.10840336134453782
5000_500_1_0.2_0.2_50,-127.69022497326434,0.0,427.0048,871,77.07141038973687,0.21820728291316513,0.3214285714285714,85,779,0.10910364145658263
5000_500_1_0.3_0.1_100,-134.2108259274911,0.0,461.0342,910,78.84671832416218,0.2198879551820727,0.3333333333333333,85,785,0.10994397759103641
5000_500_1_0.3_0.1_50,-129.61218488367865,-0.5518044684560315,444.6574,859,75.1181036912059,0.21036414565826317,0.3214285714285714,85,751,0.10518207282913165
5000_500_1_0.3_0.2_100,-128.37022819515923,-0.345800427050844,447.0584,905,74.50345622357118,0.21876750700280104,0.3333333333333333,85,781,0.10938375350140056
5000_500_1_0.3_0.2_50,-120.04939826438572,0.0,416.6112,842,69.3541677886158,0.20728291316526604,0.30952380952380953,85,740,0.10364145658263306
5000_500_5_0.2_0.1_100,-118.74643443336596,0.0,418.7688,855,70.20472410219186,0.21176470588235274,0.38095238095238093,85,756,0.10588235294117647
5000_500_5_0.2_0.1_50,-130.09016713127707,-0.2256561152247784,446.1824,885,73.5171231125939,0.22100840336134447,0.3571428571428571,85,789,0.11050420168067226
5000_500_5_0.2_0.2_100,-125.89367762992943,0.0,433.1914,849,70.7039168172059,0.20700280112044808,0.3214285714285714,85,739,0.10350140056022408
5000_500_5_0.2_0.2_50,-124.17462301685534,0.0,420.8196,856,74.76303603305878,0.20700280112044822,0.3571428571428571,85,739,0.10350140056022408
5000_500_5_0.3_0.1_100,-121.72159627676731,-0.5008380248726318,410.1532,819,71.77461108269178,0.20448179271708677,0.34523809523809523,85,730,0.10224089635854341
5000_500_5_0.3_0.1_50,-132.88431088846716,-0.1643657882985647,449.0696,870,74.09221714875142,0.21288515406162464,0.30952380952380953,85,760,0.10644257703081232
5000_500_5_0.3_0.2_100,-129.22909367285695,-0.3380292823270514,436.3472,880,74.68220780766727,0.21848739495798314,0.34523809523809523,85,780,0.1092436974789916
5000_500_5_0.3_0.2_50,-132.26486742204224,0.0,452.7406,891,75.75608398031379,0.22156862745098024,0.39285714285714285,85,791,0.11078431372549019
