node_a,node_b,weight
121,202,0.6050571229770764
156,388,0.6388958594730239
181,413,0.6965964371023026
110,368,0.8117973085378423
93,202,0.5947302383939774
2,395,0.8604688828647296
93,273,0.6292868673789962
137,22,0.7522213816171353
53,193,0.6277343100467238
126,136,0.7294782637757544
181,215,0.8292558931724543
158,190,0.7100857779989057
216,352,0.8937168591732942
34,432,0.8278544542032622
82,353,0.6270254775765646
225,326,0.7346907523538835
123,270,0.5267225824319133
352,395,0.7302383939774153
387,413,0.9001804164940576
301,319,0.8857744971367094
36,153,0.4901390680743601
37,177,0.7457740684752079
175,190,0.7979924717691342
79,202,0.5947302383939774
32,122,0.8599749058971141
193,413,0.6925972396486826
60,353,0.820474259965076
126,293,0.7616029566249799
45,273,0.6228356336260978
156,353,0.5663739021329988
83,223,0.6664993726474279
53,221,0.8092565484584824
153,244,0.7528230865746549
60,177,0.7995714332060914
175,177,0.9789081112206198
368,270,0.791580526905746
158,234,0.7921938032721085
125,311,0.6323713927227101
272,426,0.7750682448895809
53,426,0.7533219618952026
94,386,0.6933291579702054
32,326,0.718684890521503
293,299,0.6748872945585365
134,226,0.8421580928481808
60,243,0.794228356336261
153,329,0.5533249686323714
60,175,0.9044021478635462
110,384,0.8831589620847587
226,244,0.9070834239360741
2,60,0.790715181932246
153,384,0.7114178168130489
156,202,0.37232316179027847
53,125,0.8056110431912499
173,283,0.7482321261031168
79,442,0.7708665055097118
153,173,0.5909661229611042
31,60,0.8641329028193991
121,380,0.6317934825706039
199,244,0.823086574654956
134,272,0.590493640396004
124,347,0.6587202007528231
190,319,0.560810066579438
34,305,0.8021988655694943
387,413,0.9442963804487036
153,243,0.7791718946047679
134,283,0.8003088734010185
305,413,0.8759613252858486
195,388,0.8682559598494354
225,353,0.7936818275731622
353,442,0.7138703611126839
124,243,0.7611060652766225
93,413,0.6537836174767413
181,273,0.9181464585139316
242,305,0.713344485720294
15,270,0.6059235361757576
193,350,0.8119548199018476
126,216,0.835633626097867
234,299,0.6677751621220289
37,226,0.7641154328732748
193,329,0.4813048933500627
58,226,0.6967795535547114
79,386,0.7641154328732748
134,301,0.7725404940623012
2,273,0.7969887076537014
32,329,0.6683803930590441
60,134,0.6911270534156755
94,225,0.6261853978315143
134,242,0.6401682926587882
199,283,0.7904642409033877
83,352,0.5049659203330626
121,283,0.5889943679206378
243,22,0.8832679445640093
153,388,0.7716436637390214
31,283,0.7243618142109869
353,270,0.7754077791718946
94,234,0.8240045820009868
134,384,0.7377666248431619
2,293,0.7844749111970564
272,293,0.8011108329934187
283,432,0.7979924717691342
216,440,0.8484089159900327
45,158,0.5708652914332738
110,243,0.831405517062121
37,202,0.5420326223337516
243,388,0.8732747804265998
82,273,0.7541121221113353
173,347,0.5045220039269812
37,319,0.6775407779171895
136,326,0.7819322459222083
181,246,0.8563436112617244
110,299,0.9927107721601505
45,83,0.502871736320066
94,305,0.8243412797992472
199,432,0.8982860771663739
156,426,0.5498607179602012
242,244,0.8537850227633375
32,105,0.766624843161857
311,22,0.6871320664055879
226,246,0.9051442910915934
124,246,0.8045180402546113
153,244,0.7528230865746549
83,293,0.7063989962358845
32,311,0.7522390337386118
426,364,0.8069371918958094
380,22,0.9251128175231885
83,234,0.7583184352611069
60,364,0.7406931331204042
225,347,0.6700125470514429
126,380,0.6856944789852827
216,387,0.8920953575909661
121,353,0.7001254705144291
226,442,0.9870343131997616
122,201,0.9126702498596716
83,124,0.6662484316185696
246,15,0.8684525434663514
36,181,0.6587202007528231
158,388,0.7415307402760352
88,175,0.7292346298619825
105,272,0.6662484316185696
60,124,0.6259047464307231
368,283,1.047233855079861
329,352,0.5319949811794228
126,319,0.7528230865746549
83,94,0.7188020757834135
181,326,0.8410217858867981
347,386,0.7189460476787954
45,105,0.5899623588456713
329,433,0.7139620872892372
60,126,0.7496333396737217
329,433,0.5910221077604672
329,270,0.7296720467582113
173,177,0.6731350773050633
45,433,0.6501882057716437
60,234,0.8311998337462261
246,364,0.6896145928801216
181,433,0.9081097250430914
158,272,0.7534882382079452
153,350,0.9320538783993196
126,243,0.6595657142515727
426,442,0.7536848379070096
202,234,0.7892087983957108
216,386,0.8996235884567126
299,270,0.8426599749058972
272,15,0.7235787126797527
202,299,0.6935504592879438
88,440,0.6053396041382646
243,433,0.7262226324699076
153,181,0.6534150192575741
45,386,0.7448130998803438
83,242,0.7427207933017149
89,442,0.9539632768521268
329,350,0.5825757623047638
37,234,0.7562575836956288
36,433,0.6543434091921793
79,347,0.637892095357591
122,201,0.662459209195019
243,347,0.8639496837804749
433,270,0.9566796905947257
123,301,0.6087829360100376
226,440,0.8174430699572101
36,195,0.6868255959849435
234,305,0.7360063194345928
88,299,0.6115859085176086
156,395,0.733709631523247
94,299,0.6622699974455261
137,387,0.7340025094102886
353,326,0.8896948011004522
83,432,0.6334294094516326
82,293,0.71172342503888
319,283,0.7766624843161857
58,156,0.5453285632995925
386,440,1.0056911250720386
110,136,0.8374065376036617
242,319,0.7791718946047679
193,311,0.617314930991217
293,440,0.9758072147033131
94,442,0.728418009121373
126,272,0.6923976131532645
60,136,0.8146537516708744
243,440,0.9584103040875871
32,326,0.6846365507008233
83,134,0.5520194703389074
368,440,0.9341850598933806
350,270,1.0197135658720706
94,202,0.5360992597163903
301,364,0.7650574057522651
34,301,0.919792484932195
387,326,0.807261744707102
225,246,0.7997490589711418
301,386,0.9270242622253959
272,273,0.7286381437099947
125,202,0.433248101163695
37,134,0.5895775556047683
193,225,0.5967923315927276
83,175,0.8878810210474165
34,199,0.8991273162725302
433,270,0.9329727799237018
173,319,0.5836624740768308
58,413,0.7734002509410288
36,226,0.734033834026445
60,293,0.8583321934737373
45,121,0.4927807634120925
34,246,0.9132182424248719
387,395,0.715617368706054
243,283,0.7501941353079093
31,15,0.626369824940201
36,244,0.7089046705737707
216,352,0.8403006113365439
225,299,0.794228356336261
2,22,0.8168130489335006
31,110,0.9141485037971095
223,22,0.7537367675031189
311,368,1.0060911386439146
136,244,0.9344406758079128
53,136,0.7474412325789159
34,79,0.788230952160939
431,442,0.5445028330063653
31,384,0.6860748943916465
82,22,0.7452948557089084
31,181,0.8094007167691171
216,364,0.8053785891837277
53,58,0.8287800710844773
36,442,0.7479615121504307
225,15,0.7522815602926769
223,426,0.8318695106649937
31,124,0.7603513174404015
53,221,0.9304840796972451
202,395,0.7363215562652151
93,153,0.6489407606362054
199,432,0.871202887649935
225,243,0.8044287592886408
181,380,0.8720361151078695
83,223,0.6624424668723362
37,380,0.7340025094102886
121,352,0.7305274170333662
58,347,0.6068754047561457
305,368,1.0963727317597933
368,426,0.9207313818675933
94,202,0.673397551495925
193,433,0.64366373902133
31,326,0.8835740357439451
153,273,0.5841377344123757
301,386,0.7983448714771715
31,431,0.6323713927227101
36,368,0.6350946029399342
426,270,0.8883312421580929
158,384,0.6444990884472065
283,442,0.7518326059014421
121,364,0.5140526682252025
32,110,0.8996235884567126
173,202,0.579360568516481
311,388,0.6792492206995259
201,426,0.9449120438753765
121,388,0.8939971502181675
32,319,0.872141082446633
226,272,0.820577164366374
347,387,0.8213762576824559
79,126,0.7575864976328781
32,293,0.8401995490338604
79,387,0.7565872020075283
223,242,0.8686380824519478
37,215,0.5927275433773332
136,386,0.8130489335006273
34,88,0.5293611961696283
45,283,0.6511919698870765
60,234,0.6287496980602618
2,225,0.7420539868552944
94,426,0.9020151783792795
201,22,0.8652909317358226
2,88,0.531479837324819
126,432,0.9036608788011715
246,386,0.7528297381064217
31,442,0.9148623368424883
105,216,0.7865020252293903
105,273,0.7510908959524272
223,413,0.7578502040000317
202,225,0.6248431618569636
226,329,0.6925972396486826
201,244,0.6611630509131915
45,181,0.6008635043656653
32,246,0.8695106649937264
380,433,0.8504348783345567
175,226,0.9158641478299062
89,137,0.8120254248074896
301,387,0.8130489335006273
329,368,0.7114178168130489
31,37,0.5899722326209157
301,305,0.8241061180045227
190,413,0.8143657778294715
244,395,0.9886983476255986
173,234,0.5750889254033603
31,32,0.8469259723964868
234,311,0.7372704589755771
94,433,0.7154328732747804
234,283,0.6839932324102355
79,153,0.6792973651191969
242,433,0.8756876510759902
79,388,0.8521822863847225
94,22,0.7066601956833412
58,319,0.6498584686621439
31,387,0.8138615929842328
134,299,0.8386232937373287
32,352,0.8259275167631321
122,368,0.9074027603513176
136,395,0.8536884601848501
122,353,0.8628020475193255
137,395,0.8217293184823267
242,368,0.9708830691745667
136,225,0.7641154328732748
234,246,0.8318695106649937
82,384,0.7397741530740276
79,350,0.6484945807307948
89,156,0.5973693524957785
123,244,0.6229566252428158
37,177,0.5681832507865379
2,243,0.715451238019426
368,15,0.7979924717691342
234,311,0.8468014569744157
60,156,0.5533249686323714
193,432,0.6236563036884105
136,15,0.6925972396486826
37,190,0.6115901935788622
82,299,0.7894604767879548
121,283,0.6073845673408723
60,386,0.7754077791718946
83,175,0.7070250776001452
153,190,0.6172294578762596
126,319,0.7528230865746549
134,433,0.7061721440951053
15,270,0.7151819322459222
