iteration,log_likelihood,network_size
478,-30.07841939722456,92
479,-30.07841939722456,92
480,-30.07841939722456,92
481,-30.07841939722456,92
482,-30.38766222854668,93
483,-30.38766222854668,93
484,-30.38766222854668,93
485,-30.69451475652854,94
486,-30.69451475652854,94
487,-30.694514756528545,94
488,-30.694514756528545,94
489,-30.694514756528545,94
490,-30.694514756528545,94
491,-30.69451475652854,94
492,-30.69451475652854,94
493,-30.69451475652854,94
494,-30.69451475652854,94
495,-30.69451475652854,94
496,-30.69451475652854,94
497,-30.69451475652854,94
498,-30.69451475652854,94
499,-30.69451475652854,94
500,-30.69451475652854,94
501,-30.69451475652854,94
502,-30.69451475652854,94
503,-30.69451475652854,94
504,-30.69451475652854,94
505,-30.998642487184586,95
506,-30.998642487184586,95
507,-30.998642487184586,95
508,-30.998642487184586,95
509,-30.998642487184586,95
510,-30.998642487184586,95
511,-30.998642487184586,95
512,-30.998642487184586,95
513,-30.998642487184586,95
514,-30.998642487184586,95
515,-31.307885318506706,96
516,-31.307885318506706,96
517,-31.30788531850671,96
518,-31.30788531850671,96
519,-31.664381034672783,97
520,-31.664381034672783,97
521,-31.664381034672783,97
522,-31.664381034672786,97
523,-31.664381034672786,97
524,-31.664381034672786,97
525,-31.664381034672786,97
526,-31.664381034672783,97
527,-31.664381034672783,97
528,-31.66438103467278,97
529,-31.664381034672783,97
530,-31.94830605801402,98
531,-31.94830605801402,98
532,-31.94830605801402,98
533,-32.23724362317813,99
534,-32.23724362317814,99
535,-32.44884798494901,100
536,-32.44884798494901,100
537,-32.44884798494901,100
538,-32.44884798494901,100
539,-32.448847984949005,100
540,-32.448847984949005,100
541,-32.448847984949005,100
542,-32.564437693491605,101
543,-32.564437693491605,101
544,-32.564437693491605,101
545,-32.564437693491605,101
546,-32.564437693491605,101
547,-32.564437693491605,101
548,-32.56443769349161,101
549,-32.56443769349161,101
550,-32.56443769349161,101
551,-32.81880391459517,102
552,-32.81880391459517,102
553,-33.06350822478824,103
554,-33.06350822478824,103
555,-33.06350822478824,103
556,-33.06350822478824,103
557,-33.06350822478824,103
558,-33.21874690718419,104
559,-33.21874690718419,104
560,-33.21874690718419,104
561,-33.21874690718419,104
562,-33.21874690718419,104
563,-33.21874690718419,104
564,-33.21874690718418,104
565,-33.21874690718418,104
566,-33.21874690718419,104
567,-33.21874690718419,104
568,-33.371643668135334,105
569,-33.371643668135334,105
570,-33.531288290981756,106
571,-33.531288290981756,106
572,-33.531288290981756,106
573,-33.531288290981756,106
574,-33.531288290981756,106
575,-33.531288290981756,106
576,-33.531288290981756,106
577,-33.53128829098175,106
578,-33.74755466585786,107
579,-33.74755466585786,107
580,-33.74755466585786,107
581,-34.01167706190552,108
582,-34.01167706190552,108
583,-34.1385983364564,109
584,-34.1385983364564,109
585,-34.1385983364564,109
586,-34.1385983364564,109
587,-34.1385983364564,109
588,-34.1385983364564,109
589,-34.1385983364564,109
590,-34.13859833645639,109
591,-34.13859833645639,109
592,-34.13859833645639,109
593,-34.13859833645638,109
594,-34.138598336456376,109
595,-34.138598336456376,109
596,-34.138598336456376,109
597,-34.138598336456376,109
598,-34.138598336456376,109
599,-34.138598336456376,109
600,-34.13859833645638,109
601,-34.13859833645639,109
602,-34.13859833645639,109
603,-34.68562122657889,110
604,-34.68562122657889,110
605,-34.685621226578895,110
606,-34.685621226578895,110
607,-34.685621226578895,110
608,-34.925529364509075,111
609,-34.92552936450907,111
610,-34.92552936450907,111
611,-34.92552936450907,111
612,-34.92552936450907,111
613,-34.92552936450907,111
614,-34.92552936450907,111
615,-34.92552936450907,111
616,-34.925529364509075,111
617,-35.0433751371781,112
618,-35.259641512054216,113
619,-35.25964151205422,113
620,-35.57540125891118,114
621,-35.57540125891118,114
622,-35.57540125891118,114
623,-35.57540125891118,114
624,-35.84937595140056,115
625,-35.84937595140056,115
626,-35.90218925380582,116
627,-35.90218925380582,116
628,-35.90218925380582,116
629,-35.902189253805815,116
630,-35.902189253805815,116
631,-35.90218925380581,116
632,-36.20767845505999,117
633,-36.3051239114812,118
634,-36.78101686864009,119
635,-36.781016868640094,119
636,-36.781016868640094,119
637,-36.9208415480254,120
638,-36.9208415480254,120
639,-36.9208415480254,120
640,-36.92084154802539,120
641,-36.92084154802539,120
642,-37.11645049032929,121
643,-37.11645049032929,121
644,-37.238823718382775,122
645,-37.238823718382775,122
646,-37.238823718382775,122
647,-37.40912248166342,123
648,-37.40912248166342,123
649,-37.820880876496425,124
650,-37.820880876496425,124
651,-37.820880876496425,124
652,-37.820880876496425,124
653,-37.820880876496425,124
654,-37.82088087649643,124
655,-38.05126513291656,125
656,-38.06262172164776,126
657,-38.06262172164776,126
658,-38.06262172164776,126
659,-38.06262172164775,126
660,-38.06262172164775,126
661,-38.06262172164775,126
662,-38.06262172164776,126
663,-38.06262172164776,126
664,-38.06262172164776,126
665,-38.06262172164776,126
666,-38.06262172164776,126
667,-38.06262172164776,126
668,-38.29775658082589,127
669,-38.29775658082589,127
670,-38.2977565808259,127
671,-38.2977565808259,127
672,-38.50472056304084,128
673,-38.50472056304084,128
674,-39.056525031496875,129
675,-39.056525031496875,129
676,-39.056525031496875,129
677,-39.05652503149687,129
678,-39.05652503149687,129
679,-39.05652503149687,129
680,-39.05652503149687,129
681,-39.05652503149687,129
682,-39.05652503149687,129
683,-39.05652503149686,129
684,-39.05652503149687,129
685,-39.05652503149687,129
686,-39.05652503149687,129
687,-39.05652503149687,129
688,-39.05652503149687,129
689,-39.05652503149687,129
690,-39.05652503149686,129
691,-39.05652503149686,129
692,-39.25887006785608,130
693,-39.25887006785608,130
694,-39.25887006785608,130
695,-39.25887006785608,130
696,-39.430955609455836,131
697,-39.64255997122671,132
698,-39.64255997122671,132
699,-39.64255997122671,132
700,-39.64255997122671,132
701,-39.6425599712267,132
